table,eta,vf,particle_true_density_g_cc,E_mt_mpa,E_ds_mpa,nu_mt,rho_g_cc,specific_E_mpa_cc_g,E_hs_lo_mpa,E_hs_hi_mpa,inside_hs_band,feasible,hs_feasible,grade,eta_in_requested_range
grid,0.8025,0.38,1.2272898603125,5382.944875661164,5642.7612506195055,0.31240371998132815,1.1979701469187498,4493.388161221226,5382.944875661164,7342.71915285676,True,True,True,,
grid,0.8025,0.39,1.2272898603125,5469.736037148888,5745.372950628642,0.3113515731778297,1.198443045521875,4564.035026601561,5469.736037148888,7476.866599723021,True,True,True,,
grid,0.8025,0.4,1.2272898603125,5558.26310462112,5850.262584302735,0.31029299283034195,1.198915944125,4636.074056615942,5558.26310462112,7612.270761834781,True,True,True,,
grid,0.8025,0.41000000000000003,1.2272898603125,5648.579339584476,5957.484750501573,0.30922765399721014,1.199388842728125,4709.548011749251,5648.579339584476,7748.952170634987,True,True,True,,
grid,0.8025,0.42,1.2272898603125,5740.7401972797625,6067.095267791651,0.3081552198155356,1.19986174133125,4784.50141339651,5740.7401972797625,7886.931707250238,True,True,True,,
grid,0.8025,0.43,1.2272898603125,5834.803440912549,6179.151191072648,0.3070753408594444,1.200334639934375,4860.980635559723,5834.803440912549,8026.2306138027225,True,True,True,,
grid,0.8025,0.44,1.2272898603125,5930.8292630946125,6293.7108274553375,0.3059876544582073,1.2008075385375,4939.034002333087,5930.8292630946125,8166.870504938167,True,True,True,,
grid,0.8025,0.45,1.2272898603125,6028.880415033133,6410.8337519992865,0.3048917839712126,1.2012804371406252,5018.711891607519,6028.880415033133,8308.873379585062,True,True,True,,
grid,0.8025,0.46,1.2272898603125,6129.022344050456,6530.580822366366,0.3037873380165399,1.20175333574375,5100.066845462327,6129.022344050456,8452.261632960053,True,True,True,,
grid,0.8025,0.47000000000000003,1.2272898603125,6231.323340068051,6653.014193036976,0.30267390964959856,1.202226234346875,5183.153687752703,6231.323340068051,8597.058068834727,True,True,True,,
grid,0.8025,0.48,1.2272898603125,6335.854691743853,6778.197328644421,0.301551075487985,1.2026991329499999,5268.0296494462145,6335.854691743853,8743.285912079515,True,True,True,,
grid,0.8025,0.49,1.2272898603125,6442.690853013494,6906.195016703374,0.30041839477837,1.203172031553125,5354.754502310772,6442.690853013494,8890.968821500099,True,True,True,,
grid,0.8025,0.5,1.2272898603125,6551.9096208533265,7037.073379306756,0.29927540840085315,1.20364493015625,5443.390701610646,6551.9096208533265,9040.130902982692,True,True,True,,
grid,0.8025,0.51,1.2272898603125,6663.592325157445,7170.899883926468,0.2981216378058044,1.204117828759375,5534.003538526681,6663.592325157445,9190.796722964236,True,True,True,,
grid,0.8025,0.52,1.2272898603125,6777.824031702954,7307.743353215723,0.2969565838777582,1.2045907273625,5626.661303082809,6777.824031702954,9342.991322244552,True,True,True,,
grid,0.8025,0.53,1.2272898603125,6894.69375926825,7447.673973772435,0.29577972572041783,1.205063625965625,5721.435458433564,6894.69375926825,9496.740230157313,True,True,True,,
grid,0.8025,0.54,1.2272898603125,7014.29471206932,7590.763303782246,0.29459051935627,1.20553652456875,5818.4008274477665,7014.29471206932,9652.06947911763,True,True,True,,
grid,0.8025,0.55,1.2272898603125,7136.7245287899495,7737.084279401084,0.2933883963336917,1.206009423171875,5917.635792612589,7136.7245287899495,9809.005619564272,True,True,True,,
grid,0.8025,0.56,1.2272898603125,7262.0855496045215,7886.711219915521,0.2921727622337438,1.2064823217749998,6019.22251038076,7262.0855496045215,9967.575735315113,True,True,True,,
grid,0.8025,0.5700000000000001,1.2272898603125,7390.485102728709,8039.719831544657,0.29094299506808785,1.2069552203781249,6123.247141193322,7390.485102728709,10127.807459355088,True,True,True,,
grid,0.8025,0.58,1.2272898603125,7522.035812184661,8196.187209846892,0.2896984435586139,1.20742811898125,6229.800096531851,7522.035812184661,10289.728990076412,True,True,True,,
grid,0.8025,0.59,1.2272898603125,7656.855928636083,8356.191840642041,0.2884384252884293,1.207901017584375,6338.97630448948,7656.855928636083,10453.369107991579,True,True,True,,
grid,0.8025,0.6,1.2272898603125,7795.069685336205,8519.81359940749,0.2871622247128097,1.2083739161875,6450.875495500737,7795.069685336205,10618.75719294036,True,True,True,,
grid,0.805,0.0,1.2149832824999998,2999.9999999999995,2999.9999999999995,0.35,1.18,2542.372881355932,2999.9999999999995,3000.0000000000005,True,False,False,,
grid,0.805,0.01,1.2149832824999998,3045.9842306081937,3046.1146385764296,0.34902629937184776,1.180349832825,2580.5775083799203,3045.9842306081937,3097.8401005225287,True,False,False,,
grid,0.805,0.02,1.2149832824999998,3092.619526483788,3093.1456993115244,0.3480534449926789,1.18069966565,2619.31091915846,3092.619526483788,3196.3034273596954,True,False,False,,
grid,0.805,0.03,1.2149832824999998,3139.9203413130836,3141.1145348745563,0.34708131148754495,1.1810494984749997,2658.584881808448,3139.9203413130836,3295.4047652226654,True,False,False,,
grid,0.805,0.04,1.2149832824999998,3187.901552834993,3190.0430370983336,0.34610977162239426,1.1813993312999997,2698.4115094487643,3187.901552834993,3395.1588059499272,True,False,False,,
grid,0.805,0.05,1.2149832824999998,3236.5784786177633,3239.9536503828713,0.34513869620582865,1.181749164125,2738.80327303994,3236.5784786177633,3495.580167029632,True,False,False,,
grid,0.805,0.06,1.2149832824999998,3285.966892543202,3290.869385238901,0.34416795398700734,1.18209899695,2779.7730147995303,3285.966892543202,3596.683409130819,True,False,True,,
grid,0.805,0.07,1.2149832824999998,3336.083042035776,3342.8138324294064,0.3431974115494804,1.182448829775,2821.3339622236135,3336.083042035776,3698.4830527343147,True,False,True,,
grid,0.805,0.08,1.2149832824999998,3386.9436660761626,3395.8111769924317,0.3422269332007256,1.1827986625999998,2863.499742746634,3386.9436660761626,3800.99359394576,True,False,True,,
grid,0.805,0.09,1.2149832824999998,3438.566014041331,3449.8862127393763,0.34125638085714455,1.183148495425,2906.284399073812,3438.566014041331,3904.229519566332,True,False,True,,
grid,0.805,0.1,1.2149832824999998,3490.967865415714,3505.064356881282,0.3402856139242628,1.18349832825,2949.7024052223996,3490.967865415714,4008.2053214898265,True,False,True,,
grid,0.805,0.11,1.2149832824999998,3544.1675504209807,3561.3716650491556,0.33931448917185997,1.183848161075,2993.7686833104335,3544.1675504209807,4112.935510489434,True,True,True,,
grid,0.805,0.12,1.2149832824999998,3598.1839716146583,3618.8348465400177,0.33834286060374363,1.1841979939,3038.498621133881,3598.1839716146583,4218.434629451835,True,True,True,,
grid,0.805,0.13,1.2149832824999998,3653.0366265112684,3677.4812796996844,0.3373705793218555,1.1845478267249998,3083.908090575851,3653.0366265112684,4324.71726611199,True,True,True,,
grid,0.805,0.14,1.2149832824999998,3708.745631282865,3737.3390276305627,0.3363974933843873,1.1848976595499998,3130.013466894155,3708.745631282865,4431.798065337413,True,True,True,,
grid,0.805,0.15,1.2149832824999998,3765.3317455996335,3798.4368540270675,0.33542344765755766,1.1852474923749998,3176.831648936594,3765.3317455996335,4539.691741007202,True,True,True,,
grid,0.805,0.16,1.2149832824999998,3822.8163986750683,3860.8042395578386,0.33444828366067975,1.1855973251999998,3224.3800803364607,3822.8163986750683,4648.413087527437,True,True,True,,
grid,0.805,0.17,1.2149832824999998,3881.221716584496,3924.471398071947,0.3334718394041286,1.1859471580249998,3272.676771744226,3881.221716584496,4757.976991021665,True,True,True,,
grid,0.805,0.18,1.2149832824999998,3940.570550930194,3989.4692932602993,0.33249394921978753,1.1862969908499998,3321.740324155012,3940.570550930194,4868.398440232279,True,True,True,,
grid,0.805,0.19,1.2149832824999998,4000.8865089312353,4055.829655285582,0.3315144435835284,1.1866468236749999,3371.589953395436,4000.8865089312353,4979.692537166196,True,True,True,,
grid,0.805,0.2,1.2149832824999998,4062.1939850214135,4123.584998055609,0.33053314892924945,1.1869966564999999,3422.2455158376547,4062.1939850214135,5091.874507515785,True,True,True,,
grid,0.805,0.21,1.2149832824999998,4124.5181940442,4192.76863620585,0.3295498874539639,1.1873464893249999,3473.7275354129915,4124.5181940442,5204.959710884293,True,True,True,,
grid,0.805,0.22,1.2149832824999998,4187.885206139756,4263.41470249057,0.3285644769133951,1.1876963221499999,3526.057232002481,4187.885206139756,5318.963650842803,True,True,True,,
grid,0.805,0.23,1.2149832824999998,4252.32198342552,4335.558165188412,0.32757673040750246,1.1880461549749999,3579.2565512869332,4252.32198342552,5433.901984844339,True,True,True,,
grid,0.805,0.24,1.2149832824999998,4317.856418578931,4409.234845816705,0.32658645615531706,1.1883959877999999,3633.3481961448706,4317.856418578931,5549.7905340192065,True,True,True,,
grid,0.805,0.25,1.2149832824999998,4384.5173754383895,4484.481436925168,0.32559345725842626,1.188745820625,3688.355659692808,4384.5173754383895,5666.645292874276,True,True,True,,
grid,0.805,0.26,1.2149832824999998,4452.334731746777,4561.335519875874,0.3245975314523989,1.18909565345,3744.303260069054,4452.334731746777,5784.482438917663,True,True,True,,
grid,0.805,0.27,1.2149832824999998,4521.339424170608,4639.835582775528,0.3235984708453937,1.189445486275,3801.2161770693156,4521.339424170608,5903.318342229403,True,True,True,,
